ethnic_code,description
aar,Afar
abk,Abkhaz (Abkhazians)
abr,Aboriginal-Australians (Aborigines)
ace,Acehnese (Achinese)
acg,Achang
ach,Acholi
ada,Ga (Ga-Adangbe)
adi,Adivasi
adj,Adjarians (Adzhars)
ady,Adyghe (Circasians)
afa,Black-African (Africans)
afr,Afrikaners
ahm,Ahmadis
ain,Ainu
aja,Aja
aka,Akan (Asante)
aku,Aku (Creoles)
alb,Albanians
ale,Aleut
alg,Algonquian
alt,Altay (Altai)
alu,Alur
amb,Ambonese (Amboinese)
ame,Americo-Liberians
amh,Amhara
anp,Angika speakers
apa,Apache
ara,Arab
arg,Aragonese
arm,Armenian
arn,Mapuche
arp,Arapaho
arw,Arawak
asa,Asian
asm,Assamese
ast,Asturian
asy,Assyrian
ata,Atacamenos
atg,Argentinians
ath,Athabaskan
aus,Australians
auu,Austrians
ava,Caucasian Avars (Avars)
awa,Awadhi
aym,Aymara
aze,Azerbaijani (Azeri)
bad,Baganda
bai,Bamileke
bak,Bashkirs
bal,Baloch (Baluchis)
bam,Bambara
ban,Balinese
baq,Basque
bar,Bari
bas,Basoga (Bassa/Duala)
bda,Rakhine (Buddist Arakanese)
bej,Beja
bel,Belarusians (Byelorussians)
bem,Bemba
ben,Bengali-Hindu (Bengali)
ber,Berber
bey,Beydan (White Moors)
bho,Bhojpuri
bih,Bihari
bii,Bai
bik,Bicolano
bin,Edo
bis,Urban ni-Vanautu
bke,Bateke
bkn,Bakongo
bkw,Bakweri
bla,Siksikawa
blg,Blang
blk,Balkars
bln,Balanta
bmr,Bamar (Barman)
bni,Beni-Shugal-Gumez
bnt,Bantu
bny,Banyarwanda
bod,Bodo
bol,Bolivia
bon,Bonan
bos,Bosniaks
bou,Buyei
bra,Brijwasi
brb,Bariba
bre,Breton
brh,Brahui
brk,Burakumin
brm,Kurichiya (Hill Barhmins)
bsh,Bushmen (San)
bst,Baster
bsu,Subiya (Basubia)
bte,Beti-Pahuin (Beti)
btk,Batak
bua,Buryat
bug,Bugis
bul,Bulgarian
byn,Bilen
cab,Cabindan-Mayombe
cad,Caddo
cap,Cape Verdean
car,Kali’na
cat,Catalan
ceb,Cebuano
cha,Chamorro
chc,Chukchi
che,Chechen
chg,Chagatai
chi,Chinese (Mainland Chinese)
chk,Chuukese
chl,Chileans
chm,Mari
chn,Chinook
cho,Choctaw
chp,Chipewyan
chr,Cherokee
cht,Ch’orti’ (Chorti)
chv,Chuvash
chw,Chewa
chy,Cheyenne
cmc,Cham
col,Colombian
cor,Cornish
cos,Corsican
cot,Cotiers
cpe,English-Creole
cpf,French-Creole
cpp,Portuguese-Creole
cre,Cree
crh,Crimean Tatar
crp,Creole
csb,Kashubian
csr,Costa Ricans
cus,Cushitic
cze,Czech
dai,Dai
dak,Sioux
dal,Dalit (Backward classes/castes)
dam,Damara
dan,Danes
dao,Yao (Asia) (Dao)
dar,Dargwa (Dargins)
dau,Daur
day,Dayak
del,Lenape
dgr,Dogrib
din,Dinka
div,Maldivian
dje,Djerma-Songhai
doi,Dogras
dom,Dominicans
don,Dong
dox,Dongxiang
dra,Dravidian
dru,Druze
dsb,Lower Sorbian
dua,Duala
dut,Dutch (Flemings)
dyu,Dyula
dzo,Ngalop
eat,East Timorese
ecu,Ecuadorians
efi,Efik
ein,East Indian
eka,Ekajuk
eng,English
esh,Eshira (Bapounou)
est,Estonian
eur,Europeans
eve,Evenks
ewe,Ewe
ewo,Ewondo
fan,Fang (Estuary Fang)
fao,Faroese
fat,Fante
fij,Fijian
fil,Filipino
fin,Finns
fiu,Finno-Ugric
fon,Fon
fre,French
fri,Santals
frr,Frisians
fru,Fur
ful,Fula (Fulani)
fur,Friulan
gar,Garifuna (Garifs)
gay,Gayo
gba,Gbaya (Baya)
gel,Gelao (Gelo)
geo,Georgian
ger,German
gia,Gia Rai
gil,Kiribati
gin,Gin (Jing)
gio,Gio
gla,Gaels
gle,Irish
glg,Galician
glv,Manx
gon,Gondi
gor,Gorontalonese (Gorontalos)
gra,Grassfielders
grb,Grebo
gre,Greek
grn,Guarani
gsw,Swiss Germans
gua,Guatemalan
guj,Gujarati
gun,Guan
gwi,Gwich’in
had,Hadjerai
hai,Haida
har,Harari
hat,Haitian
hau,Hausa (Hausa-Fulani)
haw,Hawaiian
haz,Hazara
her,Herero
hgh,Hill Tribes
hil,Hiligayon
him,Himachali
hmn,Hmong
hmo,Hiri Motu
hni,Hani
hoa,Hoa
hon,Hondurans
hrt,Haratin (Black Moors)
hrv,Croats
hsb,Upper Sorbian
hui,Hui
hun,Hungarian
hup,Hupa
hut,Hutu
iba,Iban
ibo,Igbo
ice,Icelanders
idg,Indigenous
idn,Indian
iii,Yi
ijo,Ijaw
iku,Inuit
ilo,Ilocono
ind,Indonesian
inh,Ingush
ipk,Inupiat
ira,Iranian
iro,Iroquois
ita,Itallian
jav,Javanese
jew,Jewish
jin,Jino (Jinuo)
jol,Jola (Diola)
jpn,Japanese
kaa,Karakalpak
kab,Kabyle
kac,Kachin
kad,Kadazan
kak,Kakwa-Nubian
kal,Kalaallit
kam,Kamba
kan,Kannada
kao,Kaonde
kar,Karen (Kayin)
kas,Kashmiri
kau,Kanuri (Kanouri)
kav,Kavango
kaz,Kazakhs
kbd,Kabarday (Kabardins)
kby,Kabye (Kabre)
kch,Karachays (Karachai)
kha,Khasi
khi,Khoikhoi
khk,Khakas
khm,Khmer (Khmer Loei)
khu,Khmu
kik,Kikuyu
kin,Kinyarwanda Speakers
kir,Kyrgyz (Kirghis/Kirgiz)
kis,Kisii
kmb,North Mbundu
kno,Kono
kok,Kokani
kom,Komi (Komi-Permyaks)
kon,Kongo (Bakongo)
kor,Korean
kos,Kosraean
kou,Kouyou
kpe,Kpelle (Guerze)
krh,Krahn (Guere)
krl,Karelians
krm,Karamojong
kro,Kru
kru,Kurukh
kua,Kwanyama
kum,Kumyks
kur,Kurd
kut,Ktunaxa
lak,Lak (Russia)
lam,Lamba
lao,Lao
lar,Lari
lav,Latvian
lba,Limba
len,Lenca
lez,Lezgian (Lezgins)
lgb,Lugbara
lhu,Lahu
lii,Li
lim,Limburgian
lin,Lingala
lit,Lithuanian
lol,Mongo
lom,Lomwe (Nguru)
lov,Lovale
loz,Lozi (Barotse)
lsu,Lisu
ltk,Latoka
ltn,Latinos
ltz,Luxembourgers
lua,Luba-Kasai
lub,Luba-Katanga
luh,Luhya
lui,Luiseno
lul,Lulua
lun,Lunda
luo,Luo
lus,Lusei
mac,Macedonian
mad,Madurese (Madura)
maf,Mafwe
mag,Magahi
mah,Marshallese
mai,Maithili
mak,Makassarese
mal,Malayalam
man,Mandinka (Mandigo/Mandingue)
mao,Maori
mar,Marathi
mas,Maasai
may,Malays
mba,Mbandja
mbe,Mbere (Mbede)
mbk,M’Baka
